userName,score,at,content
Sudirman Kader,5,2023-06-06 10:49:24,Sangat membantu utk pengetahuan baik utk orang dewasa maupun anak-anak
pekalongan MAMAN,5,2023-05-30 22:38:48,"Aplikasi nya super bagus , yg gk dowlod aplikasi ini pasti kecewa"
titik Kuniasih,5,2023-05-27 23:12:38,Ini bagus banget walaupun banyak iklan
Nenni Sumarni,2,2023-05-26 10:51:55,Apk ini utk kelas brp ya..ternyata ada pertanyaan2 ttg nikah..ada pilihan berset**uh jg..jd unistall aja maaf..anaknya br kls 2SD..
Mama Vita,5,2023-05-22 13:07:31,Assalamualaikum wr wb Sebelumnya perkenalkan nama saya vita dan saya sangat suka game ini dan saya ucapkan terimakasih kepada Solite kids yg sudah buat game cerdas cermat islami ini😊😊
Siti Marwiyah,5,2023-05-13 22:16:21,Game ini sangat bagus sekali bisa bikin pintar jadi apa saja aku tau
ALfaris Putri,5,2023-05-13 11:40:49,Aplikasinya sih bagus tp terlalu banyak iklan mohon diperbaiki ya
Yudi Yudi,3,2023-05-10 13:16:14,Aku suka sama permainan cerdas cermat ini tapi karna saya mendounloud nya sangat lama saya kasih bintang 4 dulu ya
Pizza Goreng,5,2023-05-08 05:53:11,Assalamualaikum wr WB.saya suka aplikasi ini dapat menambah ilmu agama saya. semoga aplikasi ini di update terus
Pepeo 123,4,2023-05-08 04:20:39,Wah game nya bagus bangett mengasah otak biar tambah pitar memang the best👍😊
riya kafi,5,2023-05-06 08:36:22,Gamw nya seru dan bagus banget lohh soal nya jg dikit
Nisa Nisss,5,2023-04-28 11:53:30,"Assalamualaikum w.r.b. game ini membuat lebih banyak pengetahuan tentang agama jadi sangat bermanfaat bagi siapapun jadi jangan ragu ya. Apa lagi MBNYA murah cuma 13 atau 12,69 oke itu dari ulasanku wassalamualaikum w.r.b. ♡♡♡♡♡☆☆☆☆☆"
Kar Lina,5,2023-04-20 14:46:14,Gem ini sangat bagus aku sangat suka gem ini karena tentang agama islam 2 jempol👍👍
Airin 489,5,2023-04-14 14:10:15,Aplikasi nya bagusdan berguna makasih untuk yang udah buat saya kasih 5 bintang 👍😊
Mech JalalS,1,2023-04-13 20:09:10,Ada beberapa jawaban dari soal yg ada di aplikasi ini menyesatkan generasi muda yg baru akan belajar. Coba diperiksa ulang semuanya. Kenapa rukun islam keempat adalah berpuasa? Dan banyak lainnya. Mohon revisi sebelum banyak yg tersesat
Raditia Pratama,5,2023-04-13 14:26:32,"Assalamualaikum Wr Wb game ini seru banget ini game pas banget untuk nungguin waktu buka puasa jadi saya kasih lima bintang, wassalamu'alaikum Wr Wb"
Enis Shofiyah,5,2023-04-11 00:19:12,Aku kasih bintang 5 kerna banyak pelajaran yang kita sebelumya kurang tau jadi tau banget gak nyesel aku donlaut ini pertama iseng donlot ini tapi kelamaan jadi suka banget pinter banget yang buat ini jadi bermain sambil belajar trimakasih
Unielvinoveli Uni,5,2023-04-10 23:20:05,Game ini sangat bagus untuk anak usia dini sambil belajar tentang Islam
edi tritama,5,2023-04-08 21:32:03,"Game nya bagus , mendidik dan melatih mengasah otak serta menambah pengetahuan anak hingga dewasa. Dengan versi yang sekarang sudah bagus, Klo bisa sih di update kembali dan dikasih tau jawaban yang benar agar lebih bisa dan mudah dihafal. Terima kasih."
pik ih,5,2023-04-08 06:12:58,"asalammualaikum,wrh ini itu aplikasinya bagusbanget ,masya allah,selainmenambah ilmu ini bisa unuk orang tua☺"
Afifa,1,2023-04-06 22:16:02,Gak seru karena saya jawab jawaban yang benar selalu disalahin padahal itu jawaban nya itu benar soalnya juga saya semua itu pernah belajar di sekolahan saya sama persis dengan pertanyaan ini tapi pas saya Jawab selalu salah padahal jabannya benar kalo misalkan saya jawab salah dia pasti bilang oow gak jelas banget permainan solite /cerdas serial cerdas cermat
Kicu 1999,5,2023-04-05 08:36:47,Cocok untuk yg belum paham bab fiqih maupun sejarah islam . 10/10 ★★★★★
Elsha Eriawati,5,2023-04-05 02:31:05,Game ini bagus dan bermanfaat bagi kita thankyou 😉
Rama Cell,5,2023-04-04 07:54:19,Wow sangat seru dan menarik setiap usaha dilakukan untuk pintar dan ada juga beberapa islami terimakasih depeloper yang membuat game ini
andi ono,5,2023-04-02 22:06:49,wah pelajaran agama nya bagus aplikasih ini wajib di dowlod aku yang kelas 5 sd sudah bisa tau pelajaran agama yang belum di pelajari💜👍👍💜
Kiyai Seagou Agou,5,2023-03-28 10:32:05,"Assalamualaikum Wr Wb ... Bagus, mencerahkan namun harus selalu di update untuk ilmu pengetahuan nya agar digali terus agar dalam kedepannya anak-anak kita lebih menguasai ilmu agamanya, ingat tingkat kepengetahuannya jangan selalu berdasarkan usia wajib sekolah pada anak-anak kita tersebut akan tetapi tingkatkan lagi kedalaman ilmunya, semoga bermanfaat bagi anak-anak kita sebagai penerus kelak kedepannya. Wassallamualaikum Wr Wb"
Ganda Prawira,5,2023-03-26 02:04:42,Game ini sangat bagus untuk anak anak ini bisa kita pelajari dari kelas 1-6
Raam Kudus,5,2023-03-25 10:55:56,Aplikasi nya bagus aku aja sudah bisa puasa tapi aku latihan krn aku anak kecil umr ku aja 9thn kok sampe ortu sampe bilang ibu:puasa nya full bgt anak ku
Asfar Alzam,5,2023-03-23 13:55:27,Aplikasi ini membuat edek ku langsung pintar no. 5
Ce Mani,5,2023-03-23 06:51:13,"Aplikasi ini membantu saya lebih mengenal sejarah, puasa, dan lain-lain saya harap semua orang bisa memahami apa itu islami"
Ati Ade,5,2023-03-23 05:34:19,"Game ini bagus, aku jadi bisa mengetahui tentang islam lebih dalam lagi. Semangat untu meningkatkan gamenya ya!!!"
rosul ocuy,5,2023-03-17 01:16:26,Saya mau kompelein gara gara aplikasi ini anak saya pinterr banget islam nya padahal sekola SD loh? Wajib orang tua yang anak nya sekolah SD wajib punya aplikasi ini . Terima kasih 😃
Dinda Putri,5,2023-03-13 08:58:28,Game nya bagus banget kita jadi bisa bermain sambil belajar
Irhamgunawan Gunawan,5,2023-03-05 23:15:27,Wow sangat seru dan menarik setiap usaha dilakukan untuk pintar dan ada juga beberapa Islami
Ruli Yanti,4,2023-03-03 23:17:02,"Aplikasi nya bagus banget,Masya Allah,selain bisa belajar, juga bisa menambah ilmu dan pengetahuan"
Layli Nur Fadillah,5,2023-02-26 03:22:38,Bagus dan baik untuk anak Agar menjadi lebih pintar atau sholeh tantang ilmu agama
Yatman Budiman,5,2023-02-25 13:37:53,Pokonya gk mau basa basi yang penting apk ini sangat bagus dan sangat beguna
Yhanty Yhan91,5,2023-01-16 00:46:25,Baru download semoga bisa membantu anak-anak untuk belajar 🙏
Mas Drun,5,2023-01-07 10:04:42,"Game ini bagus banget dan sangat cocok untuk anak anak,kita bisa bermain sambil belajar 😁👍dan dapat menembah ilmu pengetahuan islam👍"
Azizah Nur Rafidah,4,2022-12-27 13:39:00,"Sertifikat tidak bisa tersimpan di galeri setelah menekan tombol save, begitu juga dengan tombol share, tidak dapat berfungsi setelah di tekan."
Rofi Tea,4,2022-12-24 04:59:54,Alhamdulilah gampang dan tidak ada gangguan
Muhammad Hadani,5,2022-12-22 01:57:30,Saya sangat suka game ini menambah wawasan untuk anak anak
Intan Ratu anisa,1,2022-12-21 15:26:44,Disuruh ulang ulang terus bikin kesel sebaik nya gak usah di dowlod😡
Safa Nuriah,5,2022-12-14 06:43:56,"Assalamualaikum ini gem nya bagus banget apalagi bisa membuat anak anak tuh pintar mengaji, dan ini membuat anak tidak main gem yang lain, dan ini melatih otak anak menjadi cerdas, ini bagus banget deh pokonya"
Abdul Mutholib,5,2022-12-13 13:38:43,apk ini baguss bangetttttt buat yang lagi istiqomahhhh
Kholiza Syahidina,5,2022-12-04 12:37:34,"Hello apk baguss bangetttt thank apk tolong update tentang nabi dan rasull bercerita dongeng dan tambahkan aqidah akhlak biar seruuu dan gamenya banyakin lagi (10 games)kaya tata cara sholat,cara wudhu yg benar dan kiblat dan nilai nya dengan sesuai trimakasi apk sangattt membantuuu!!!!"
MARVEN,1,2022-12-04 11:44:48,Apli kasi banyak iklan nya
Ari bhai,4,2022-12-02 14:41:00,Bagus banget game nya bisa ngasuh otak
Dika Mahar,5,2022-12-02 09:35:06,Aku dari duLu suka permainan ini soaL nya aku suka banget soaL nya aku itu guru matematika😅
Revana Andriani P,5,2022-12-01 11:01:23,Seru banget game nya bisa menambah ilmu😉🥰
Budidjaya Barbers,5,2022-11-28 12:22:14,Aplikasi sangat bermanfaat buat anak anak
Khai Rani,5,2022-11-28 03:51:22,Aplikasinya bagus banget cocok untuk anak madrasah jadi tau sejarah islam dll pokoknya wajib di dowload sekarang☺😁😀😇
tajima tajima,5,2022-11-20 07:06:49,game nya sangat bermanfaat untuk saya gamenya mb dikit tapi seru banget
Intan Maratussoleha,1,2022-11-12 12:33:37,Tolong di perbaiki lagi ya karena tidak bisa di download terima kasih
Odien Aja,4,2022-11-12 07:11:02,Bagus banget nih aplikasi nya tapi kayaknya soal soal itu itu terus dehhhhhhhhhhhhh Maaf cuma bintang 4
Vina Yasinthia,5,2022-11-01 10:30:08,Aku sih game nya udh di download lama sampai hari sekarang baru di mainin tapi bagus juga permainan nya
Age Widy,1,2022-10-31 06:58:23,Assalamualaikum Game ini bisa untuk belajar agama dan juga bisa membantu otak kita menjadi pintar dan juga tidak ada iklan pun 1 aja tidak ada dan lebih menyenangkan pelajaran ku semakin susahnya pelajaran agama disini banyak buku buku agama di kelasku yang belum di ajarin tapi di gem islami itu udah ada jadi kalo ada kuis agama aku bisa jawab. Dan yang belum donlot buru buru donlot biar cepat pintar agama. Wassalamualaikum teman teman ku
Cah Ayu,5,2022-10-29 21:05:18,Permainan nya bagus banget bisa belajar sama ada permainan nya lagi
Sontet Oktavia,5,2022-10-20 07:30:59,Alhamdulillah masyaalloh la quwwata illah billah ini bagus banget apknya... Menambah wawasan baru lagii Terimakasih
Syamsul Bahri,5,2022-10-01 07:49:41,Game ini sangat bagus bagus sekali karena untuk agama islam game ini jadi gua dowload karena aku suka islam
Titin Kartini,3,2022-10-01 04:52:41,Bagus sih tapi banyak iklan terus kalo keluar harus ulng lagi dari awall
Sum Sun,5,2022-09-28 21:10:10,"Gamenya menambah wawasan dan pengetahuan,tapi tambahin fitur materi dong biar lebih mudah mengerjakan soalnya, gamenya cukup seru saya sangat merekomendasikannya untuk anak-anak SD/MI sederajat !!!"
Abdul Muntholib,5,2022-09-10 12:49:21,"Sangat bagus , anak q mencoba aplikasi ini dan dia suka , aplikasi ini sangat bagus sekali 🥰😁"
Aenun Mardyah,5,2022-09-10 04:31:26,Game ini bagus menurut saya gara gara game ini saya dapat rengking 1 di sekolah islamic saya saya suka game ini yang kita tidak tau. Kita akan tau the best deh\w/🤗✨!!
Wiwin 1,5,2022-09-07 13:25:26,ayo instal sekarang ini bagus untuk pembelajaran islam aku sangat sukaaaa banget deh😍😍😍 semoga di bales yah😊
Alam Syah,5,2022-08-06 02:31:34,Bagus Untuk anak belajar...dari pada nonton yg nggak jelas
Fia Fiza,5,2022-08-04 06:45:16,Aplikasinya sangat membantu untuk pembelajaran agamanya dan bagus buat belajar agar menambah wawasan seolah-olah dipilih lomba ataupun yg lainnya.Pokonya aplikasinya udah bagus🖒tidak ada keluhan atau kekurangan udah oke
Jevon Gwen,5,2022-07-31 08:05:16,Bagus banget saya suka pelajaran islam ini cocok banget appnya
Rohmah Rohmah,5,2022-06-28 02:06:33,Ini cocok untuk anak anak bisa belajar sambil bermain jadinya seru banget kalian harus download sih recomended di jamin bagus
Gilang Freedom,5,2022-06-26 13:00:52,Saya suka permainan ini saya akan memberikan bintang 5 nama saya RESTI Makasih sekarang saya bisa mengaji
Reysha Arroyyan,5,2022-06-18 14:07:37,UNTUK MENGHAPAL ANAK ISLAMI DAN UNTUK MENGHAPAL JIKA ADA ULANGAN DI PENGAJIAN NILAI DARI AKU 💯 ♡makasih ya yang udh ciptain game ini aku suka banget sama game ini ❤❤❤makasih banget sekali lagi kaka / bapa / ibu / adek ❤❤
Mufasa sk,5,2022-06-06 15:05:39,"Bagus juga nih untuk mengasah otak, gak cuma untuk anak sd"
M Afif Miftahuddin,5,2022-05-25 07:50:16,"Game ini sangat mendidik sekali dan seru,juga bisa buat belajar serta bermain terima kasih cerdas cermat 😊"
M Fahri Ad Dirja,5,2022-05-24 03:34:02,Ya ampun cerdas cermat ini jelek banget ih menjijikkan najis 😪 tapi boong bagus banger kalian wajib di donglot karna ada kalkulator juga ada permainan lo aku salut deh siapa sih yang muat nya ....?😂😂
USAHA ALYA,4,2022-05-16 05:59:10,Gem nya bagus banget !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Tapi salah satu kenapa kalo gak ada internet itu kalo waktu hati nya habis itu pas kelik tidak itu bisa keluar dan ke nomor 1lagi ya oiya kan ada gem nya kalo kalian lagi belajar terus mau istirahat kalian bisa mainin atu di main kan yok belajar bareng dengan cerdas cermat
Mahesha Razaka,5,2022-05-15 13:32:27,Bagus sih buat pelajaran anak sd atau smp sma semoga aplikasinya selalu gak bug atau rusak saya doakan gak bug atau rusak gak jelas semoga aplikasinya gak selalu rusak ya amin ya rombak alamin
nikes delvino,5,2022-05-13 12:27:43,"Gamenya bagus bagiku recommend buat anak² yang suka pelajaran agama islam, terimakasih sudah membuat game seperti ini 👍"
Engkukusnadi Kusnadi,5,2022-05-11 08:06:07,Assalamu'alaikum perkenal kan nama saya dina Aplikasi ini sangat bermanfaat supaya anak anak menjadi anak yangsoleh soleha dan cerdas dan pintar semoga bermanfaat untuk kalian wassalamu'alaikum 😊😇
lia seviana,5,2022-05-09 05:28:17,wah bagus banget ya gamenya bikin mendukung anak saya untuk terus belajar trima kasih cerdas cermat islami
Abdul Basyirit,1,2022-05-01 23:57:41,kalo belajar pake aplikasi ini juga cerdas
Yastha Mahes,5,2022-04-27 05:33:19,Assalamualaikum warahmatullahi wabarrakatuh Alhamdulillah aplikasi nya sangat bermanfaat 🤗Bisa menambah ilmu. Buruan download aplikasi nya ya ☺️
Jumi Syah,4,2022-04-23 14:01:48,Saya sudah pernah mencoba yg merah merah . merah apa jar lah hah uadah mainnya blm ku coba dah 👍🤣🤣🤣😆🤓🤓🤓💩( astaga lahap bener nih Aku) tp kok ku download blm selesai jua hm hm dasar game 😒😤 udahlh biasanya gak bgn yaudah kolo' udah 3 hari kukurangin aja Bintangnya jadi 3 aja udah lagi soalnya mudah mudah pembikinnya tolong tarok di game ini soal yg susah ini kolo enggak di tarok yg soal susah gak usahlh kukasih bintang👎👎🙅🤷🙍🏃
Khoirun Nitda,1,2022-04-22 09:37:17,Game nya Bagus sih tapi kok ada yang salah dari Game ini kan ada soal Rukun Islam yang ke 3 adalah... Saya jawab puasa tapi kok di game nya salah Malah zakat.. ini katanya ingin lebih pintar.. ini namanya bukan lebih pintar tapi lebih bodohhh.😒😒 Ini mah yang salah game nya bukan kita nya...
Hafis Alfaris,5,2022-04-22 07:55:28,"Aplikasi ini sangat bagus, menyenangkan, membuat kita cerdas dalam memahami soalnya,juga ada game nya jadi tambah seru deh pokoknya Ter the best 🥰😊 Sukses terus. Terimakasih."
Putri Risma,4,2022-04-21 06:14:48,Game ini seru dan menambah pengetahuan tapi tidak ada materi lain jadi agak bosan tapi game bagus (menurut saya)
Bambang Mulyadi,5,2022-04-17 06:38:22,"Game nya seru untuk anak anak,ada permainannya juga pokoknya seru deh,ayo download sekarang juga"
Susi Sulistia,1,2022-04-02 21:21:35,maaf saya kasih bintang 1 soalnya saya ada keselnya sama permainan sekuil jam ko ga kena duri juga hewan nya udah mati
Saepul Anwar,5,2022-03-27 06:42:11,Alhamdulillah game nya bagus sekali anak saya jadi dapat memahami juga mempelajari isi dari game ini bagus banget untuk anak2 belajar 🤩🤩🏆🏆🏆🏆
Aii Safitri8869gmail,5,2022-03-23 14:46:47,"Assalamualaikum Aplikasi ini bagus banget cocok untuk yang belum sempat madrasah, bisa bertambah ilmu juga pokoknya dhe best 👍💯"
Trevor Philips,5,2022-03-07 19:34:19,Bagus aplikasinya sangat membantu dalam mendalami agama lebih mendalam ♥️
Shafa Nadia Azzahra,4,2022-03-07 14:48:30,"Bagus sih masyaAllah tp mohon min agar di perhatikan tulisan2 nya ya ada bbrp yang salah, terima kasih"
Sesa Olivia,4,2022-03-04 08:21:40,Game nya seru bangeeeeeet !!!!!!!!!!!!!!!!!!!!!!!! Kalo gak download nanti nyesel lho ! Ngapain liat kebawah kan udah aku bilangin bagus
Miza Afrina,5,2022-02-28 05:43:16,Ini game bermanfaat banget bagi aku Karna game ini juga pelajaran loh bisa aku ingat ingat ada haji ada wudhu banyak deh aku ketahui di dalam game ini wajib sih kalian download bagi yang muslim dada ingat jangan lupa download
Yanti Rusliyanti,5,2022-02-27 06:06:58,"Aku pasti mendukung mainan islami atau mainan lain yang bermanfaat , terimakasih CERDAS CERMAT ISLAMI karena sudah menciptakan mainan yang bermanfaat!! Thank you😊"
Aini Sumiati,5,2022-02-17 11:12:53,"Assalamualaikum warahmatullahi wabarokatuh, aplikasi ini bagus baget, karena aplikasi membantu banget untuk belajar tentang agama Islam. jadi kalian cepet² download!! Gk bkl nyesel deh👍"
Sam Suyamto,5,2022-02-07 08:30:19,Assalamualaikum warahmatullahi wabarakatuh Admin tolong bantuannya kenapa untuk pembelian hapus iklan kok tidak bisa dengan pulsa dari telkomsel
Kila Gaming,5,2022-01-28 08:27:34,Asalamualaikum kak geme nya bagus jadi aku ngga rugi donlod nya kalian harus coba walaupun MB nya sedikit tapi tetap bagus aku suka Salam kenal aku kannaya Geme bagus 👍👍👍👍👍
Hijrah Yuk,5,2022-01-27 06:44:29,"Assalamualaikum warahmatullahi wabarakatu🙏,aplikasihnya bagus sekali......,banyak ilmu agama yang kita bisa daptakan...dr aplikasih in......"
Dipsi Fuadi,5,2022-01-20 06:25:26,Sangat bermanfaat. Banyak iklan juga wkwkw
Syadiah Cntk,5,2022-01-16 14:44:09,Assalamualikum..permainannya bagus banget 😊sekaligus sambil menambah ilmu..semoga slalu berkah ya .. 😊😊
Zaenal Arifin,5,2022-01-06 10:53:49,Assalamualaikum ini sangat bagus dan berguna sekali semoga membantu
SriNur Jannah,5,2022-01-05 07:31:26,Apk bagus banget bisa bermain juga lagi pokonya mantap banget apk nya!!!!!!!!!!!!!!!!!!!!!!!!!!
Salwa Ariyanti,5,2021-12-30 06:02:54,"Aplikasinya bagus banget loh,adik aku sering main ini juara cerdas islam di sekolah"
Annisa Fitriani,5,2021-12-26 06:03:53,Assalamualaikum wr.wb Nama saya ANNISA FITRIANI Saya baru menggunakan aplikasi Cerdas cermat islam. Masnyaallah aplikasi ini bagus banget.....
Ibanes Ines,2,2021-12-18 07:06:26,Game nya bagus bgt seru bgt kalian harus donwload 😇😇😇
Lebirika Fatim,4,2021-12-17 11:33:29,Aku aslinya mau kasih bintang 5 tapi karena tidak bisa pilih kelas jadinya aku kasih bintang 4 saja ya
Leni Handayani,5,2021-12-11 12:13:22,gem nya bagus tapi gak bisa di donold
Syifa Kamilah,5,2021-12-10 23:02:43,Assalamualaikum hai nama saya m. Salman aplikasi ini bagus sekali saya suka baget 😇😘😘😘😘😘😘😘😘👌👌👌👌anak anak wajib coba 👍👍👍👍👍👍☝☝☝☝☝☝☝☝👍👍👍👍👍👍👍💖💖💖💖💖💖💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞✋💞💞💞💞💞💞💞💞💞💞✋💞✋💞✋💞✋💞✋✋✋✋💞💞💓💓
ratna suwandi,5,2021-12-06 14:07:57,assalamualaikum saudara2 game ini sangat membantu buat anak / adik. adik aku sangat suka makasih ya kk slam dari hana
Fikri Burhanudin,5,2021-11-28 07:41:07,"Assalamungalaikum Warohmatullohi Wabarokatu hai, nama saya Aisyah. Fauziyyah saya mau bilang kalau Aplikasi atau Permainan Cerdas Cermat Islami ini bagus banget saya suka banget dan Terima Kasih ya untuk orang yang sudah membuat Aplikasi atau Permainan ini Terima Kasih itu saja dari saya dan Maaf jika ada kata - kata dari saya yang saalh tolong di Maafkan ya dah Assalamungalaikum Warohmatullohi Wabarokatu."
Sanijo Sani,5,2021-11-06 14:30:12,Assalamu'alaikum kk aplikasi ini bagus banget loh fix kalian harus coba!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!! Maaf ya kenapa kalian harus lihat bawah aku gak bohong kok aplikasi ini bagus loh!!!!!!!!!!!!
Amar Kadafi,5,2021-10-24 11:13:56,"Ya bagus banget, aku baru saja lomba cerdas cermat ya beneran..............."
Salsabila Wibowo,5,2021-10-18 14:19:47,Ini mi mana ya soal nya saya juga sekolah di mi kalo mi di sekolahan saya terima kasih Bu guru.... Ini membuat kita menjadi lebih pintar
Sinathtriya LK Gumilar,5,2021-10-11 08:56:33,Aplikasi nya sangat bagus kalian harus download apk ini kalau tidak kalian akan menyesal
bachtra 2312,4,2021-09-30 10:01:05,"Afwan ..ada soal yg salah . Di bab wudhu ,soal ke 42, masalah kencing anak perempuan., itu termasuk najis mutawasitoh, bukan najis muhofafah.. Karna kalau najis muhofafah khusus untuk anak kecil laki"" yg berumur dibawah 2tahun. Syukroon 😊😊😊"
lovely lover,2,2021-09-29 11:15:10,gk kedondod donlod padahal memori gk penuh jaringan juga bagus😢😢
shaf kreatif,5,2021-09-21 09:17:15,"aplikasi yg sanagt bermanfaat, dan bisa di amal ke anak kecil sehingga bisa mengasah otak dengan mengajarkan tentang keagamaan dari aplikasi keagamaan"
Upuh Bubun,1,2021-09-10 12:24:13,Aplikasi ini bagus sekali anak ku juga sudah pintar sekarangmah
Iriyanti Yanti,5,2021-09-06 04:59:22,Assalamualaikum Beneran deh ini game keren abis Jgn lupa install yh sahabat ukhuwah
Mang Ujang,5,2021-09-06 03:59:29,Bagus dan baik bisa diulang jadi bikin hafal
Muhammad Syarief Sidohutomo,5,2021-09-02 12:51:42,"Assalamualaikum Wr. Wb. Ternyata meskipun itu tertulis hanya bisa online, eits, ternyata masih berfungsi secara offline meski gak bayar, bisakah anda (developer) hanya menulis seperti ini: Fitur pro akan menghapus iklan."
Gian Kanaya,5,2021-09-02 03:19:02,Game ini bagus banget dan ini juga bisa sekaligus in buat belajar juga... Intinya game ini bagus banget deh cocok buat belajar... aku suka banget...♡
Naufal Arkan Saputro,5,2021-08-25 23:58:17,"Game yang sangat bermanfaat , karena banyak mata pelajaranya untuk dari anak SD sampai SMA"
Misbahull Munir,1,2021-08-25 12:37:46,Ini aplikasi nya bagus 👍baget aku soal nya kalo sekolah suka di tanya pelajaran islam
Aurellia Nurnazwa,5,2021-08-21 03:01:20,Bagus banget aplikasinya buat belajar tentang islam 🖒 pokoknya jangan ragu buat instal .
Alvi Atika,2,2021-08-18 21:31:36,Tolong setiap memulai belajar untuk meniadakan iklan ya karena sangat meresahkan
Ananda isti Azizah,3,2021-08-12 14:13:55,"Aplikasi nya bagus banget, cuman gak tau kenapa jawabannya kok ada gang gawur?"
Husnul Khotimah,5,2021-08-12 07:56:53,pokoknya game ini cocok untuk kita kita bisa mengasah otak
Andrian Kasih,5,2021-08-09 23:21:01,Geme nya jelek.tapi boong hahahahhah seru banget geme aku jadi semangat untuk belajar
novita anjarsari,5,2021-08-04 04:36:30,Anakku jadi semangat untuk belajar onlen
tile kirpay,5,2021-08-01 02:24:46,permainannya bagus banget kalian harus download ini bukan sekedar permainan tapi bisa belajar juga loh pokoknya seru
Andhika Syahreza,5,2021-07-30 05:55:36,Game nya bagus banget aku sampai bisa dalam 70 hari
Kadiran,4,2021-07-26 05:24:24,Aplikasi ini bagus banget ada try out nya bisa cetak sertivikat ada quis spinner nya juga buat orang yang nyari aplikasi agama islam ini paling bagus yang aku temuin cuman iklannya banyak banget tapi kalo iklanya habis ya nggak ada
Saeful Rohman,5,2021-07-18 02:54:56,Assalamualaikum.... Nama saya Naila Saya kelas 4 Bagus pelajaran ini untuk anak islami Ayo teman teman downlond aplikasi ini bagus loh untuk anak muslim dan muslimah
RIDHO CHANNEL,5,2021-07-17 03:23:20,"Game ini seru dan keren,saya suka,walaupun saya sudah kelas 1Mts ★★★★★"
Yunz Yulsian,5,2021-07-13 12:53:50,Alhamdulillah game nya bagus banget seru pula walau pun belajar di rumah
Palembang Emas,5,2021-06-23 05:14:04,Assalamu'alaikum saya mau bilang game ini subhanallah bagus banget
De Wi,5,2021-06-17 23:02:35,"Maa syaa Allah bagus app nya,,bisa jadi edukasi buat anak,, Alhamdulillah terimakasih"
